Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
未作成テキスト,アイテム１８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Bunkamachi,I am [1B]T1%s[1B]R.,"Being in possession of that mask means
you are also in possession of my blessing."
未作成テキスト,アイテム１９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Shibuya Crossing,I'm [1B]T1%s[1B]R.,"There is no need to fear, master of
souls... I wholeheartedly pledge my
loyalty to you, as your mask."
Devil Fruit,ソウルドロップ,Restores 20 HP to one ally.,未作成テキスト,未作成テキスト,未作成テキスト,705,I-I'm [1B]T1%s[1B]R.,Y-You... have mask! N-N-Nice meet you...
Life Stone,スナフソウル,Restores 30% HP to one ally.,未作成テキスト,未作成テキスト,未作成テキスト,705: Behind the Castle,I am [1B]T1%s[1B]R.,"They don't call me a ""High Pixie"" for
nothing! I'll be your mask and show
you the real reason why!"
Bead,チューインソウル,Fully restores one ally's HP.,未作成テキスト,未作成テキスト,未作成テキスト,Castle: Entrance Hall,I'm [1B]T1%s[1B]R.,"I shall become your mask. Let the days
of war and love commence..."
Bead Chain,ソウルフード,Fully restores all allies' HP.,未作成テキスト,未作成テキスト,未作成テキスト,Entrance Hall,Me [1B]T1%s[1B]R!,"That mask means you my master.
Me become loyal guard dog!"
未作成テキスト,アイテム２４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Memorial Hall,I am [1B]T1%s[1B]R.,"I am the flames of vengeance...
Any who oppose us shall be singed
by the fire now within your mask."
未作成テキスト,アイテム２５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Memorial Hall,I'm [1B]T1%s[1B]R...,"You look kinda delicious, but I guess
I can pass on eating you since I'm your
new mask and all..."
未作成テキスト,アイテム２６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Elevator,"I'm [1B]T1%s[1B]R, ho!","I know I'm just a mask, but take
good care of me-hee, ho!"
未作成テキスト,アイテム２７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,I am [1B]T1%s[1B]R.,"If anyone dares bring you trouble,
I'll gladly choke them to death."
未作成テキスト,アイテム２８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Great Hall,I am [1B]T1%s[1B]R.,"Order and discipline come before
anything else. Take my mask, and
let us defend our honor together."
未作成テキスト,アイテム２９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Great Hall,I'm [1B]T1%s[1B]R.,"I'll leave the realm of dreams for
a while and become your mask..."
Soul Drop,アイテム３０,Restores 10 SP to one ally.,Vajra Blast,コウゴウハッパ,"Medium Phys dmg to a wide
area of foes.",Outer Wall,Me [1B]T1%s[1B]R...,"What... am I? Oh yeah, me a mask
you have..."
Snuff Soul,アイテム３１,Restores 30 SP to one ally.,Vorpal Blade,クウカンサッポウ,"Heavy Phys dmg to a wide
area of foes with medium
chance of Critical.",Outer Wall,I am [1B]T1%s[1B]R.,"I will become a new mask, and in
doing so, change your fate..."
Chewing Soul,アイテム３２,Restores 50 SP to one ally.,未作成テキスト,未作成テキスト,未作成テキスト,Cage of Lust,I'm [1B]T1%s[1B]R.,"You who have obtained my mask...
I shall become a ray of hope shining
deep within your heart."
Soul Food,アイテム３３,Fully restores one ally's SP.,未作成テキスト,未作成テキスト,未作成テキスト,Shibuya Station: West Exit,I'm [1B]T1%s[1B]R...,"You have mask... You and me...
Don't worry, be happy!"
Soma,アイテム３４,"Fully restores all allies' HP
and SP.",未作成テキスト,未作成テキスト,未作成テキスト,705: In Front of the Castle,I-I'm [1B]T1%s[1B]R.,"I-I-I... I'll become a mask! Maybe then
I will gain shape!"
未作成テキスト,アイテム３５,未作成テキスト,Vicious Strike,レップウハ,"Medium Phys dmg to a wide
area of foes with medium
chance of Critical.",Cage of Lust,I am [1B]T1%s[1B]R.,"You too hate blind obedience?
Then let us go together..."
未作成テキスト,アイテム３６,未作成テキスト,Heat Wave,ヒートウェイブ,"Heavy Phys dmg to a wide
area of foes with high
chance of Critical.",Yongen-Jaya,We are [1B]T1%s[1B]R...,"The immense might of my army is
now one with your mask..."
未作成テキスト,アイテム３７,未作成テキスト,Gigantomachia,ギガントマキア,"Severe Phys dmg to a
wide area of foes with high
chance of Critical.",Outside,I am [1B]T1%s[1B]R.,"These one hundred hands which have
emerged victorious in countless wars
are now held within your mask!"
未作成テキスト,アイテム３８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Café Leblanc,I am [1B]T1%s[1B]R.,"Your future shines bright like a
diamond! I am your mask now!"
未作成テキスト,アイテム３９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Inside,I am [1B]T1%s[1B]R.,"I shall be your mask and guide you
along the border between life and
death..."
Revival Bead,チガエシノタマ,"Revives one fallen ally
to 50% HP.",Rampage,アバレマクリ,"Medium Phys dmg to a wide
area of foes.",Attic,I am [1B]T1%s[1B]R.,"My sword, my bow... These tools which
formed this fine land shall now grant
you power as a mask."
Balm of Life,ハンゴウンコウ,"Revives one fallen ally
to full HP.",Swift Strike,デンコウセッカ,"Heavy Phys dmg to a wide
area of foes.",Velvet Room,I am [1B]T1%s[1B]R.,"I'll agree to be your new mask, so don't
work me THAT hard, y'hear!?"
Rescue Pill,モルヒネ,"A pill to stop heart
palpitations. Revives one
fallen ally to 50% HP.",Deathbound,デスバウンド,"Severe Phys dmg to a wide
area of foes with medium
chance of Critical.",Shibuya,I'm [1B]T1%s[1B]R.,"It looks like I'm your mask now, so
I guess I get to train you as much as
I want."
Resuscitation Pill,オキシコドン,"An excellent cardiotonic
pill. Revives one fallen
ally to full HP.",Agneyastra,アグネヤストラ,"Colossal Phys dmg to a
wide area of foes with high
chance of Critical.",未作成テキスト,I am [1B]T1%s[1B]R.,"The courage to stand up to even death
itself shall now become a part of your
mask!"
未作成テキスト,アイテム４４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Stairs,I'm [1B]T1%s[1B]R.,"Your luck's gonna come. It will, it will!
Anyways, here's your mask of fortune."
未作成テキスト,アイテム４５,未作成テキスト,Double Fangs,ニレンガ,"Medium Phys dmg to an
area of foes with medium
chance of Critical.",Prison Keep: Rooftop,I'm [1B]T1%s[1B]R.,"I'm your mask now, so you should be
able to rely on me—well, as much as
you would a weather report..."
未作成テキスト,アイテム４６,未作成テキスト,Tempest Slash,サミダレギリ,"Heavy Phys dmg to a wide
area of foes with high
chance of Critical.",Stairs,I am [1B]T1%s[1B]R.,"To you with the mask... I wish good
fortune upon thee."
未作成テキスト,アイテム４７,未作成テキスト,Myriad Slashes,セツナサミダレギリ,"Severe Phys dmg to a wide
area of foes with high
chance of Critical.",Prison Keep: Rooftop,I am [1B]T1%s[1B]R.,"You have my mask. There's no doubt
good luck will come to you now!"
未作成テキスト,アイテム４８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Stairs,I am [1B]T1%s[1B]R.,"The power of my clan has now been
imbued into your mask!"
未作成テキスト,アイテム４９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Prison Keep: Rooftop,I am [1B]T1%s[1B]R.,"The melody of the heart... It shall
become your mask and be with you..."
Hot and Sour Tea,ヒエールシート,"A tea that blows drowsiness
away.
Cures Sleep for one ally.",Sledgehammer,スレッジハンマー,"Light Phys dmg to an
area of foes with medium
chance of inflicting Dizzy.",Sendai Station,I'm [1B]T1%s[1B]R.,"The might of my hammer shall find
a new home within your mask."
Super Jolt,アイテム５１,"Helps you work 24/7 with
no problems.
Cures Brainwash for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Sendai Station,I am [1B]T1%s[1B]R.,"You the badass with the mask?
C'mon dude, let's play!"
Mental Floss,アイテム５２,"Stimulates the memory
from the gums.
Cures Forget for one ally.",Terror Claw,テラークロウ,"Light Phys dmg to an
area of foes with medium
chance of inflicting Fear.",Aoba St. 1st Ward,I am [1B]T1%s[1B]R.,"I will be your mask from here forward...
This will be a night you'll never forget..."
Donut-Worry,アイテム５３,"Donuts that bring
relief.
Cures Fear for one ally.",Headbutt,ヘッドバット,"Light Phys dmg to an
area of foes with medium
chance of inflicting Forget.",Aoba St. 1st Ward,I am [1B]T1%s[1B]R.,"I will become your new mask and
take control of your destiny..."
Soothing Towel,アイテム５４,"A cool towel that calms
you down.
Cures Rage for one ally.",Dream Needle,ユメミバリ,"Light Phys dmg to an
area of foes with medium
chance of inflicting Sleep.",Aoba St. 1st Ward,I am [1B]T1%s[1B]R.,"I wish for a battle in which my life is
on the line... Hence, I shall join you
as a new mask..."
Wide Eye Drops,アイテム５５,"Eye drops that help you see
straight.
Cures Dizzy for one ally.",Hysterical Slap,ヒステリービンタ,"Light Phys dmg to an
area of foes with medium
chance of inflicting Rage.",Hirose St.,I'm [1B]T1%s[1B]R.,"The strength of the abyss is yours
for the taking..."
Repentance Ashes,アイテム５６,"Cures all non-special
ailments for all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Hirose St.,I am [1B]T1%s[1B]R.,"Can you sense this noble aura? In that
case, I shall become a mask and lead
you on... Follow me."
Hiranya,アイテム５７,"Cures all non-special
ailments for one ally.",Brain Shake,ブレインシェイク,"Light Phys dmg to an
area of foes with medium
chance of inflicting Brainwash.",Sendai World Center,I'm [1B]T1%s[1B]R.,"Now that I am your mask... the hidden
arias shall be yours..."
Amrita Soda,アイテム５８,"Cures all non-special
ailments for all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Sendai World Center,I am [1B]T1%s[1B]R.,"The holy power to strike down the
darkness has now become one with
your mask..."
未作成テキスト,アイテム５９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,West Garden,I'm [1B]T1%s[1B]R.,"With this mask, my uncontrollable
rage is now within your grasp!"
未作成テキスト,アイテム６０,未作成テキスト,Flash Bomb,フラッシュボム,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Dizzy.",West Garden,I am [1B]T1%s[1B]R.,"The power of the chancellor of heaven
shall become thy mask and striketh
down the army of darkness..."
未作成テキスト,アイテム６１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Mt. Aoba,I'm [1B]T1%s[1B]R.,"So you wish for the power to kill, even
if others abhor you? In that case, I shall
become your mask."
未作成テキスト,アイテム６２,未作成テキスト,Bloodbath,チマツリ,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Fear.",Castle: Rear Area,I am [1B]T1%s[1B]R.,"Me become your mask. Me guide you
through other world."
未作成テキスト,アイテム６３,未作成テキスト,Memory Blow,ボウサツラッシュ,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Forget.",Castle: Front Area,"I'm [1B]T1%s[1B]R, hee-ho.","Your enemies are my enemies, ho!
I'll become a mask and free-hee-ze
them solid, ho!"
未作成テキスト,アイテム６４,未作成テキスト,Dormin Rush,ドルミンラッシュ,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Sleep.",Underground Prison,"I'm [1B]T1%s[1B]R, hee-ho!","I'm gonna be-hee your mask, ho!
Nice to mee-hee-t you, ho!"
未作成テキスト,アイテム６５,未作成テキスト,Oni-Kagura,オニカグラ,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Rage.",Underground Prison,I am [1B]T1%s[1B]R.,"Your soul shall act as a tool to transform
my dauntless might into an unstoppable
mask."
未作成テキスト,アイテム６６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Entrance Hall,I am [1B]T1%s[1B]R.,"...You cannot hide it from me. Those
inner desires are but another of your
façades."
未作成テキスト,アイテム６７,未作成テキスト,Brain Buster,ブレインバスター,"Medium Phys dmg to a wide
area of foes with medium
chance of inflicting Brainwash.",Entrance Hall,I'm [1B]T1%s[1B]R...!,"For the sake of you who still lives,
I shall become a mask..."
未作成テキスト,アイテム６８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Hall of Trials,I am [1B]T1%s[1B]R.,"I shall be your new face. Now, come—let
us rejoice in the melody that draws forth
true might."
未作成テキスト,アイテム６９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Hall of Trials,I am [1B]T1%s[1B]R.,"I am the one who keeps watch over
all oaths of this world, and the one
who shall become your mask..."
Purifying Ash,ボンジュース,"A deodorant that hides
your presence. Slightly
decreases Jail's security level.",未作成テキスト,未作成テキスト,未作成テキスト,Corridor of Diligence,I am [1B]T1%s[1B]R.,"Me become your mask, protect you
from unclean thing."
Mega Purifying Ash,モンタ,"A deodorant that erases
your presence. Greatly
decreases Jail's security level.",未作成テキスト,未作成テキスト,未作成テキスト,Stairs of Glory and Despair,I am [1B]T1%s[1B]R...,"Wielder of my mask, you shall soon
understand the true might of the
fairy queen..."
未作成テキスト,シブヤスイ,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Aerial Corridor,I am [1B]T1%s[1B]R.,"The ring of my trumpet signals calamity
and death... I shall be your mask, so let
us harmonize..."
未作成テキスト,アイテム７３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Aerial Corridor,I'm [1B]T1%s[1B]R.,"My magic spear shall bring a rain of
blood. Now, let me be your mask!"
未作成テキスト,アイテム７４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Aerial Corridor,I'm [1B]T1%s[1B]R!,"Heehee! I think I'll be your mask...
You'll play with me, won't you?"
未作成テキスト,アイテム７５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Cage of Vanity,I am [1B]T1%s[1B]R.,"I see you know of my ingenious feats.
Rejoice, for I shall graciously
become your mask..."
未作成テキスト,アイテム７６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Mt. Aoba Park,"I am [1B]T1%s[1B]R,
the morning star that riseth
from the darkness.","He who transcendeth the bleak world
of the heart... Under the pact, I shall
become thy mask."
未作成テキスト,アイテム７７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Sendai Station,未作成テキスト,未作成テキスト
未作成テキスト,アイテム７８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Stairs,未作成テキスト,未作成テキスト
未作成テキスト,アイテム７９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Prison Keep: Rooftop,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８０,未作成テキスト,Snap,シダン,"Medium Gun dmg to an
area of foes.",Stairs,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８１,未作成テキスト,One-Shot Kill,ワンショットキル,"Heavy Gun dmg to an
area of foes with very high
chance of Critical.",Prison Keep: Rooftop,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８２,未作成テキスト,Triple Down,トリプルダウン,"Heavy Gun dmg to a wide
area of foes with high
chance of Critical.",Stairs,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８３,未作成テキスト,Riot Gun,シコウノマダン,"Severe Gun dmg to a wide
area of foes with high
chance of Critical.",Prison Keep: Rooftop,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Rain Shrine,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Prison Keep,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Stairs of Glory and Despair,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Corridor of Impatience,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Mt. Aoba Park,未作成テキスト,未作成テキスト
未作成テキスト,アイテム８９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Date Masamune Statue,未作成テキスト,未作成テキスト
Second Maid,アイテム９０,"Refreshing Mandarin
flavor.
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Suzushino,未作成テキスト,未作成テキスト
Joylent,アイテム９１,"Unsettlingly nutritious.
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Odori Park,未作成テキスト,未作成テキスト
Muscle Tea,アイテム９２,"A popular tea often sold
online.
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Intersection: North,未作成テキスト,未作成テキスト
Oh! Shiruko,アイテム９３,"So good it makes you say
""Oh!""
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Intersection: South,未作成テキスト,未作成テキスト
Creature,アイテム９４,"A drink that blows sleepiness
away. Restores 10 HP and
cures Sleep for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Intersection: North,未作成テキスト,未作成テキスト
Moronamin G,アイテム９５,"Practically liquid caffeine.
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Intersection: South,未作成テキスト,未作成テキスト
Earl Green,アイテム９６,"A blend of Eastern and
Western tea.
Restores 10 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Stairs of Glory and Despair,未作成テキスト,未作成テキスト
Manta,アイテム９７,"Makes you want to dance
all night.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Suzushino,未作成テキスト,未作成テキスト
Arginade,アイテム９８,"Contains arginine.
Restores 5 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Odori Park,未作成テキスト,未作成テキスト
Water of Rebirth,アイテム９９,"Blended with placenta.
Restores 5 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Odori Park,未作成テキスト,未作成テキスト
Dr. Salt NEO,シッパイリョウリ,"Now with more pepper.
Restores 20 HP to one ally.",Agi,アギ,"Light Fire dmg to an
area of foes with chance
of inflicting Burn.",Odori Park,未作成テキスト,未作成テキスト
1UP,ルブランコーヒー,"Coveted by old-school
gamers.
Restores 10 HP to one ally.",Agilao,アギラオ,"Medium Fire dmg to an
area of foes with chance
of inflicting Burn.",Odori Park,未作成テキスト,未作成テキスト
Utagawa Water,ルブランカレー,"Triple-filtered Shibuya
river water.
Restores 10 HP to one ally.",Agidyne,アギダイン,"Heavy Fire dmg to an
area of foes with chance
of inflicting Burn.",Odori Park,未作成テキスト,未作成テキスト
Utagawa Soda,チョコミントクレープ,"Triple-filtered carbonated
Shibuya water.
Restores 20 HP to one ally.",Inferno,インフェルノ,"Severe Fire dmg to an
area of foes with chance
of inflicting Burn.",Odori Park,未作成テキスト,未作成テキスト
Chunky Potage,アイテム１０４,"You can never drink all
the kernels.
Restores 10 HP to one ally.",Maragi,マハラギ,"Light Fire dmg to a wide
area of foes with chance
of inflicting Burn.",Sapporo Tower,未作成テキスト,未作成テキスト
Starvicks,アイテム１０５,"The world's first spicy
coffee.
Restores 10 HP to one ally.",Maragion,マハラギオン,"Medium Fire dmg to a wide
area of foes with chance
of inflicting Burn.",Sapporo Clocktower,未作成テキスト,未作成テキスト
Nastea,アイテム１０６,"Unexpectedly great taste.
Restores 10 HP to one ally.",Maragidyne,マハラギダイン,"Heavy Fire dmg to a wide
area of foes with chance
of inflicting Burn.",Arboretum,未作成テキスト,未作成テキスト
Ultimate Amazake,アイテム１０７,"Makes you think you're
drunk.
Restores 20 HP to one ally.",Blazing Hell,ダイエンジョウ,"Severe Fire dmg to a wide
area of foes with chance
of inflicting Burn.",Arboretum,未作成テキスト,未作成テキスト
Zunda Ramune,アイテム１０８,"Edamame flavored
ramune.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Former Govt. Office,未作成テキスト,未作成テキスト
Gyutan Soda,アイテム１０９,"An inconceivable
combination.
Restores 10 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Castle: Rear Area,未作成テキスト,未作成テキスト
Alien Brand Jelly,アイテム１１０,"Tasty jelly from your friendly
neighborhood... alien!?
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Castle: Front Area,未作成テキスト,未作成テキスト
Sepia Shock,アイテム１１１,"Sweet beets and bubbly
soda. Restores 10 HP and
cures Dizzy for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Great Dining Hall,未作成テキスト,未作成テキスト
Oh My Orange,アイテム１１２,"Overwhelmingly orange.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Great Dining Hall,未作成テキスト,未作成テキスト
Okinawa Kaabuchi,アイテム１１３,"The blessings of Okinawa
unto you.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Main Hall,未作成テキスト,未作成テキスト
Chilly Candy,アイテム１１４,"Refreshing candy to cool
you down.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Main Hall,未作成テキスト,未作成テキスト
Goripeshi,アイテム１１５,"They say drinking this every
day helps you live longer.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Corridor of Ice,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１１６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Corridor of Ice,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１１７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Outer Wall,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１１８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Outer Wall,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１１９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Rooftop Courtyard,未作成テキスト,未作成テキスト
Leblanc Coffee,アイテム１２０,"Specialty drip coffee.
Restores 30 SP to one ally.",Bufu,ブフ,"Light Ice dmg to an
area of foes with chance
of inflicting Freeze.",Rooftop Courtyard,未作成テキスト,未作成テキスト
Gyutan Stew,アイテム１２１,Slow-cooked beef tongue stew. Tender and savory. Restores 40 HP to all allies.,Bufula,ブフーラ,"Medium Ice dmg to an
area of foes with chance
of inflicting Freeze.",Rooftop Courtyard,未作成テキスト,未作成テキスト
Salmon Bowl,アイテム１２２,A rice bowl laden with both salmon and salmon roe. Restores 20 HP to all allies.,Bufudyne,ブフダイン,"Heavy Ice dmg to an
area of foes with chance
of inflicting Freeze.",Cage of Gluttony,未作成テキスト,未作成テキスト
Leblanc Curry,アイテム１２３,"A simple dish, and the basis of any good curry recipe. Restores 20 SP to all allies.",Diamond Dust,ダイアモンドダスト,"Severe Ice dmg to an
area of foes with chance
of inflicting Freeze.",Stairs,未作成テキスト,未作成テキスト
Miso Ramen,アイテム１２４,Made with special miso. Restores 20 HP to all allies. Applies Masukukaja effect.,Mabufu,マハブフ,"Light Ice dmg to a wide
area of foes with chance
of inflicting Freeze.",Prison Keep: Rooftop,未作成テキスト,未作成テキスト
Jingisukan,アイテム１２５,One bite of this lamb BBQ fills your body with energy. Restores 40 HP to all allies.,Mabufula,マハブフーラ,"Medium Ice dmg to a wide
area of foes with chance
of inflicting Freeze.",Stairs,未作成テキスト,未作成テキスト
Seafood Bowl,アイテム１２６,"A raw fish medley.
Restores 20 SP to all allies.
Applies Marakukaja effect.",Mabufudyne,マハブフダイン,"Heavy Ice dmg to a wide
area of foes with chance
of inflicting Freeze.",Prison Keep: Rooftop,未作成テキスト,未作成テキスト
Okinawa Soba,アイテム１２７,"More akin to ramen or udon, its flavor is unmistakable. Restores 30 HP to all allies.",Ice Age,ダイヒョウガキ,"Severe Ice dmg to a wide
area of foes with chance
of inflicting Freeze.",Stairs,未作成テキスト,未作成テキスト
Kyoto Curry,アイテム１２８,"Each bite brings back happy
memories of Akane.
Restores 40 SP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Prison Keep: Rooftop,未作成テキスト,未作成テキスト
Goya Chanpuru,アイテム１２９,"A bitter dish.
Restores 40 HP to all allies.
Applies Masukukaja effect.",未作成テキスト,未作成テキスト,未作成テキスト,Suzushino,未作成テキスト,未作成テキスト
