0,Head to Leblanc,Gather rumors in Shibuya,Defeat all Shadows!
[1B]Z,Return to Mt. Aoba Park,"Find ""rain""",Defeat the Slithering Snakewoman!
[1B]Z,Open the Fox Couple Statue,Head to the stone monument,Defeat the Corpse-Eating Corpse!
[1B]Z,Pursue Sophia,Solve the mystery of the orb,Defeat the War-Hungry Horseman!
[1B]Z,Follow the mysterious voice,Proceed through the shopping arcade,Defeat the Mocking Snowman!
[1B]Z,Head to the bathhouse in Suzushino,"Open the ""Gate of Trials""",Defeat the Divine Governor!
[1B]Z,Gather rumors on Mariko Hyodo,Head to the back of the Overlord Castle,Defeat the Vampire Moth!
[1B]Z,Find the Fox Couple Statue's secret,Head to the Aerial Corridor,Defeat the Wishless Star!
[1B]Z,Regroup with Haru,Head to the Desire,Defeat the Dark Sun!
[1B]Z,Enter Jail from Suzushino intersection,[1B]Z,Defeat the Fused Ghost!
[1B]Z,Find the research lab,Head to Shibuya,Defeat the Hundred-Armed Watcher!
[1B]Z,Take a stroll at the beach,Gather rumors near Sendai Station,Defeat the Calamitous Cat God!
[1B]Z,[1B]Z,Gather rumors in Suzushino,Defeat the Monk of the Valley!
[1B]Z,Head to Tenboto,Gather rumors at the ferry dock,Defeat the Final Assessor!
[1B]Z,Head to Akira Konoe's parental home,Gather rumors at Shinsekai,Defeat the Auspicious Pachyderm!
[1B]Z,Accept/Complete the request,Head to the stairs,Defeat the Strumming Veena Player!
[1B]Z,Infiltrate the Sendai Jail,Head to the Velvet Room,Defeat the Thunder Emperor!
[1B]Z,Infiltrate the Sapporo Jail,[1B]Z,Defeat the Abyssal King of Avarice!
[1B]Z,Infiltrate the Okinawa Jail,Investigate the area,Defeat the Merciless Inquisitor!
[1B]Z,Infiltrate the Kyoto Jail,Proceed onward,Defeat the Blackened Fury!
[1B]Z,Infiltrate the Osaka Jail,Head to the depths of the lab,Defeat the Shadow of God!
[1B]Z,Prepare in the Velvet Room,Find the key to open the path,Defeat the Fratricidal Destroyer!
[1B]Z,Wait for Alice's change of heart,Stop the blizzard,Defeat the Guard Dog of Hades!
[1B]Z,[1B]Z,Return to Odori Park,Defeat the Monarch of Snow!
[1B]Z,Disable the security cameras,Glide down the steep hill,Defeat the Fallen Snowman!
[1B]Z,Head to mid-level in the elevator,Head to higher ground,Defeat the Brilliant Dragonslayer!
[1B]Z,Find a way to reach the upper level,Find the castle's entrance,Defeat the Throbbing King of Desire!
[1B]Z,Disable the infrared sensor gate,Check the Fox Couple Statue,Gain control of the Prison Keep!
[1B]Z,Head to upper level in the elevator,Find the other fox statue,Perform an ambush!
[1B]Z,Head to the castle in the airship,Head to the Prison Keep,Defeat the Coffin-Borne God!
[1B]Z,Change Konoe's heart,Head to the departure gate,Defeat Doma of the Fearsome Four!
[1B]Z,[1B]Z,Obtain a VIP Pass,Defeat Ante of the Fearsome Four!
[1B]Z,Head to Shujin Academy,Head to the departure gate,Defeat Kuga of the Fearsome Four!
[1B]Z,Head to Gatorre Coffee,Escape from the prison,Defeat Betero of the Fearsome Four!
[1B]Z,[1B]Z,Unlock the elevator,Defeat the Beguiling Girl!
[1B]Z,Head for the depths,Escape the underground area,Defeat the Troublesome Housemaid!
[1B]Z,Stop Ichinose's scheme,Head to the server room,Defeat the Menacing Owlman!
[1B]Z,Stop EMMA,Head to the top deck,Defeat the Viscid Rotting Meat!
[1B]Z,Destroy the Ark of the Covenant,Find a way to the Father Fox Shrine,Defeat the Prankster Leader!
[1B]Z,Obey,Find a way to the Mother Fox Shrine,Defeat the Hound-Killing Maverick!
[1B]Z,Choose your own path,Check the Father Fox Shrine,Defeat the Woman Who Brings Ruin!
[1B]Z,Send the calling card,Check the Mother Fox Shrine,Defeat the Rooftop Lion!
[1B]Z,[1B]Z,Seek the path to Mother Fox Shrine,Defeat the Ancient Lord!
[1B]Z,[1B]Z,Pray at the Fox Couple Statue,Defeat the Funerary Warrior!
[1B]Z,Return to Tokyo,Pray at the Path of Harmony,Defeat the Wheel of Fate!
[1B]Z,Head to the Tokyo Radio Tower,Pray at the Parental Square,Defeat the Cavern Snakeman!
[1B]Z,[1B]Z,Pray at the Daughter Fox Shrine,Defeat the Snake King!
[1B]Z,During an event,Pray at the Path of Fortune,Defeat the Killer Teddy Bear!
[1B]Z,[1B]Z,Return to the Daughter Fox Shrine,Defeat the Sun's Emissary!
[1B]Z,Talk to Futaba,Seek the Father Fox Shrine,Defeat the dire Heavenly Punisher!
[1B]Z,Return to Shibuya Station,Head to the Father Fox Shrine,Defeat the dire War-Hungry Horseman!
[1B]Z,Go to the Sendai Station bookstore,Gather intel,Defeat the dire Dark Sun!
[1B]Z,Prepare and head to the hideout,Head to the upper floor in the elevator,Defeat the dire Snake King!
[1B]Z,[1B]Z,[1B]Z,Defeat the dire Killer Teddy Bear!
[1B]Z,Disable the searchlights around 705,Turn on the heater,Defeat the dire Harlot of Desire!
[1B]Z,[1B]Z,"Obtain the ""proof""",Defeat the dire Wandering Reviver!
[1B]Z,Head to Zenkichi's house,[1B]Z,Defeat the dire Sun's Emissary!
[1B]Z,Depart for Okinawa,[1B]Z,Defeat the Reaper!
[1B]Z,[1B]Z,[1B]Z,Turn on the heater!
[1B]Z,Enjoy Kyoto,[1B]Z,Steal from the treasure chest!
[1B]Z,Investigate,[1B]Z,Finish the false god!
[1B]Z,[1B]Z,[1B]Z,Defeat all strong enemies!
[1B]Z,Pick a partner for the Ferris wheel,[1B]Z,Destroy all spheres!
[1B]Z,Pick a partner for Tenboto,[1B]Z,Defeat Doramu the Loyal!
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,"Gather ""proofs"" for the Gate of Trials",[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,Break through the blizzard,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z
