Elegant Experiment,"Kuon Ichinose, ever-curious re: the Metaverse","Hi there, I thought of another experiment
I'd like conduct in the Metaverse. I could use
your help. If you do, I'll tip you off to a really
great online grocery store!",[1B]Z,Defeat 8 enemies in a single Showtime,[1B]Z,[1B]Z,More groceries available,¥4800,More groceries available,¥4800,[1B]Z
Trapped in Ruins,"Mona, Desire tracker extraordinaire","Hmm, I can smell a Desire in the Okinawa Jail.
It's on top of a shipping container... I think we
can reach it if we use the cargo hooks. Let's go
track it down!",Okinawa Jail,[1B]Z,[1B]Z,[1B]Z,Divine Grace Skill Card,[1B]Z,Divine Grace Skill Card,[1B]Z,[1B]Z
"Prison Mail, Part 5",Lavenza of the Velvet Room,"Have you been utilizing the triad fusion? You
need to train multiple Personas so that you can
continue to create strong Personas. I shall give
you another assignment to assist with this.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,¥6000,Unlocks level cap for BOND skill,¥6000,[1B]Z
Sophia's Weapon Shop Redux,"Sophia, hoping to offer more equipment","To add more weapons to the shop, I'll need to
trade in some high-quality cat whiskers. They
seem rather difficult to acquire—you'll have to
make good use of your surroundings.",Kyoto Jail,[1B]Z,Beckoning Cat Square,[1B]Z,More weapons available,¥8000,More weapons available,¥8000,[1B]Z
Sophia's Armor Shop Redux,"Sophia, hoping to offer more equipment","To add more armor to the shop, I'll need to
trade in some fine black feathers, but they are
not easy to acquire. Perhaps with Wolf's sword
at our side, we'll be able to collect enough.",Kyoto Jail,[1B]Z,Fox Couple Statue,[1B]Z,More armor available,Niuhuang Dan,More armor available,Niuhuang Dan,[1B]Z
An Ebon God Descends,"Oracle, unsure whether or not she's dreaming","Hey! This cool blue butterfly just floated past
me—right then, I picked up a really strong
reading in the Sendai Jail. Think we should
track it down?",Sendai Jail,Defeat the Fratricidal Destroyer,Side path of Castle: Front Area,[1B]Z,Beastly Was-Sceptre,¥13200,Beastly Was-Sceptre,¥13200,[1B]Z
A Thief's Challenge: Panther,"Panther, itching to test her phantom thief skills","With so many Shadows in the Jail, it's important
to stay hidden. If we can get to the farthest part
of the underground waterway while hidden,
we should celebrate with some shopping!",Shibuya Jail,[1B]Z,[1B]Z,[1B]Z,More accessories available,Purifying Ash,More accessories available,Purifying Ash,[1B]Z
Trapped in Shrine Gates,"Mona, Desire tracker extraordinaire","Hmm, I can smell a Desire in the Kyoto Jail, but
Akane wasn't stealing Desires... Did someone
else wander in there? It seems to be coming
from a bamboo garden...",Kyoto Jail,[1B]Z,[1B]Z,[1B]Z,Concentrate Skill Card,[1B]Z,Concentrate Skill Card,[1B]Z,[1B]Z
"Prison Mail, Part 6",Lavenza of the Velvet Room,"Have you been making good use of Persona
strengthening? One can gain enough power
through this to master their domain. Well,
enough advice—here is your next assignment.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,¥11500,Unlocks level cap for BOND skill,¥11500,[1B]Z
"Junk Collection, Part 5","Kuon Ichinose, friend of Metaverse scroungers","I've yet to see any news about the Phantom
Thieves being detained, so I'm guessing you
got away all right—if so, do you have some
Metaverse junk I could take off your hands?",Kyoto Jail,[1B]Z,[1B]Z,[1B]Z,Masquerade Whip S,¥72000,Masquerade Whip S,¥72000,[1B]Z
A Thief's Challenge: Fox,"Fox, considering the Phantom Thieves' tenets","One of the core skills of the Phantom Thieves is
the ability to sneak. Let us hone our infiltrative
capabilities in the Sendai Jail by traversing the
area on foot without raising an alarm.",Sendai Jail,[1B]Z,[1B]Z,[1B]Z,Knight's Crest,Goya / Tofu / Carrot,Knight's Crest,Goya / Tofu / Carrot,[1B]Z
A Thief's Challenge: Wolf,"Wolf, curious how the Phantom Thieves work","I know Akane's into the Phantom Thieves and
all, so I wanna find out how you do it. I mean,
not because she's interested, I just... I wanna
learn how you traverse different terrain! Yeah.",Sendai Jail,[1B]Z,West Garden and Hirose St.,[1B]Z,Traffic Sign,Life Stone,Traffic Sign,Life Stone,[1B]Z
"Junk Collection, Part 6","Kuon Ichinose, friend of Metaverse scroungers","Enjoying Osaka? I have to say, it wouldn't be for
me (I'm not one for crowds). At any rate, you got
some more junk for me?",Osaka Jail,[1B]Z,[1B]Z,[1B]Z,Rune Amulet,¥84000,Rune Amulet,¥84000,[1B]Z
A Thief's Challenge: Noir,"Noir, contemplating what a phantom thief is","The most important part of being a phantom
thief is successfully sneaking, so let's work on
that. I wonder if we can successfully infiltrate
the Sapporo Jail in its entirety solely on foot?",Sapporo Jail,[1B]Z,[1B]Z,[1B]Z,More groceries available,¥10000,More groceries available,¥10000,[1B]Z
A Thief's Challenge: Skull,"Skull, shouting about being a phantom thief","Yeah, phantom thieves do a lot of sneakin'
around, but we gotta work up a sweat every
so often too—plus, we hafta work on our sick
moves! So, let's get in that Jail and go hog wild!",Osaka Jail,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,Bead,Unlocks level cap for BOND skill,Bead,[1B]Z
The Hound of Hades Howls,"Oracle, seeing things again","I just saw the blue butterfly again! Oh, and I
picked up a really strong reading in Juoji Zoo,
in the Osaka Jail! We should get nice and ready
if we're gonna rumble!",Osaka Jail,Defeat the Guard Dog of Hades,Juoji Zoo,[1B]Z,Collar of Hell,¥15000,Collar of Hell,¥15000,[1B]Z
Make Way for the Frozen King,"Oracle, sending another urgent update","Have you been waiting with bated breath for
the next installment of the blue butterfly saga?
Well, I spotted it just now! Then, I got a strong
reading in the Arboretum, in the Sapporo Jail!",Sapporo Jail,Defeat the Monarch of Snow,The Arboretum,[1B]Z,Giant Snow Crystal,Hiranya,Giant Snow Crystal,Hiranya,[1B]Z
Halt the Strutting Little Imp,"Oracle, sending yet ANOTHER urgent update","Blue butterfly spotted again! You know what
that means: a strong reading, this time at the
crossing in the Shibuya Jail! I've gotta say, it
 seems especially evil, even for a Shadow...",Shibuya Jail,Defeat the Fallen Snowman,Shibuya Crossing,[1B]Z,Evil Snow Crystal,Cabbage / Kamo-Nasu Eggplant,Evil Snow Crystal,Cabbage / Kamo-Nasu Eggplant,[1B]Z
A Thief's Challenge: Queen,"Queen, trying to focus on phantom thief affairs","You want to work on our phantom thievery...
in the Okinawa Jail? Ummm, okay... No, I'm
not scared! Let's just try and infiltrate as far
as possible WITHOUT being spotted, all right?",Okinawa Jail,[1B]Z,[1B]Z,[1B]Z,HP Incense,¥12000,HP Incense,¥12000,[1B]Z
A Thief's Challenge: Sophie,"Sophie, querying what a phantom thief truly is","You have taught me the importance of going
undetected by the enemy. Do you think we
could go unnoticed in the Kyoto Jail as well?
Please show me how the Phantom Thieves do it.",Kyoto Jail,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,Balm of Life,Unlocks level cap for BOND skill,Balm of Life,[1B]Z
Elegant Experiment Extended,"Kuon Ichinose, ever-curious re: the Metaverse","The case is over once we change Konoe's heart,
right? I wonder what'll happen to EMMA and the
Metaverse then... Haha, I guess there's no point
thinking about it. Care for another experiment?",[1B]Z,Defeat 12 enemies in a single Showtime,[1B]Z,[1B]Z,More items available,¥13000,More items available,¥13000,[1B]Z
Trapped in a Dystopia,"Mona, Desire tracker extraordinaire","I know we saw all those Desires leave the Osaka Jail, but I've just smelled something that makes me think there's one still left in there. It's in a place with lots of containers.",Osaka Jail,[1B]Z,[1B]Z,[1B]Z,Power Incense,[1B]Z,Power Incense,[1B]Z,[1B]Z
Dragon Slayer Enters the Fray,"Oracle, afraid to say goodbye to the RV","I've gotta say, I'm gonna miss this lil' camper...
Oh, right! I got a really strong reading from the
deepest part of the Kyoto Jail. You'd better get
as ready as you can before searching for it!",Kyoto Jail,Defeat the Brilliant Dragonslayer,Inari Taisha Main Shrine,[1B]Z,Dragon Slayer Blade,¥11000,Dragon Slayer Blade,¥11000,[1B]Z
The Writhing Nightmare Rises,"Oracle, getting homesick","I picked up a strong reading at the end of a path
in the Okinawa Jail! It's giving me a pretty bad
feeling, but at least I know where my own path
in life is leading me—back home to Sojiro!",Okinawa Jail,Defeat the Throbbing King of Desire,Cage of Desolation,[1B]Z,Carnal King's Wheel,Bead Chain,Carnal King's Wheel,Bead Chain,[1B]Z
"Junk Collection, Part 7","Kuon Ichinose, friend of Metaverse scroungers","So... The trip's gone a bit sideways, huh? Well,
I don't know what's going to happen to the
Metaverse, but get whatever you still can. I'd
be happy to take them off your hands.",Osaka Jail,[1B]Z,[1B]Z,[1B]Z,SP Incense,¥90000,SP Incense,¥90000,[1B]Z
"A Thief's Challenge: Wolf, Pt. 2","Wolf, now learned on phantom thief affairs","So, the Phantom Thieves have to go the stealthy
way, huh? Then why don'tcha show me what it
takes to get to this point here in the Osaka Jail
without raising an alarm?",Osaka Jail,[1B]Z,[1B]Z,[1B]Z,More accessories available,Snuff Soul,More accessories available,Snuff Soul,[1B]Z
Sendai Sweets,"Ann Takamaki, dessert ""expert""","If it's got sugar, I wanna try it—the more
extravagant, the better! Mind treating me
to some, [1B]S1? Pleeease?",[1B]Z,[1B]Z,[1B]Z,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
Lending a Paw,"Morgana, smile hunter on the prowl","I need your help making Lady Ann smile!
I heard there's a rare dessert somewhere in
Sendai. Let's gather intel in Mt. Aoba Park!",[1B]Z,[1B]Z,[1B]Z,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
Love Soupreme,"Ryuji ""Ramen Freak"" Sakamoto","I just HAFTA try this famous ramen in Sapporo!
I heard they sell tickets for it at ""the store with
the red sign""—lemme know if you get your
hands on any!",[1B]Z,[1B]Z,[1B]Z,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
The Apothecary's Connection,"Sophia, eyes bigger than her stomach","The quickest route to meal tickets for the
renowned Sapporo ramen would be to assist
the pharmacy manager. Providing the Supple
Tentacles of 10 Shadows ought to do the trick.",Sapporo Jail,[1B]Z,The Arboretum and Sapporo Tower,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
Okinawan Art Appreciation,"Yusuke ""Bursting With Passion"" Kitagawa","For art to imitate life, one must first experience
life. This is a basic truth of humanity. Let us
make way to the Okinawa Jail, so we may
bear witness to the great Shiisaa ourselves!",Okinawa Jail,[1B]Z,Research Lab and Document Storage Area,[1B]Z,Shiisaa Ornament,Shiisaa Ornament,Shiisaa Ornament,Shiisaa Ornament,[1B]Z
Beachside Blast,"Makoto ""Melon Buster"" Niijima","We'll have to buy a watermelon somewhere,
and I guess we can look for the tools later. First,
I'd like to warm my muscles up a bit. I know
we're rather busy, but... would you mind?",Sapporo Jail,[1B]Z,Suzushino and Odori Park,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
Cooking Papa,"Zenkichi ""This is for my daughter"" Hasegawa","You kids got me thinkin', I should start making
sure Akane's eating right. How about helping
with some easy recipes—you, Okumura, and
Sakura? I'm gonna steal your cooking skills!",[1B]Z,Get Haru and Futaba to teach Zenkichi cooking,[1B]Z,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
Obanzai Ingredients,"Haru Okumura, ready to teach","I think both Zenkichi-san and Akane-chan
would appreciate some obanzai meals, but
we'll need a few more things before we can
start. Would you mind picking them up?",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Obanzai Recipe,¥14000,Obanzai Recipe,¥14000,[1B]Z
Forging the Ultimate Menu,"Futaba Sakura, official tasting judge","Kids today LOVE eating curry and ramen
together! Whip up something good and
I'll know for sure whether or not I can
serve as a proper judge in a taste test!",[1B]Z,[1B]Z,[1B]Z,[1B]Z,BOND Exp,[1B]Z,BOND Exp,[1B]Z,[1B]Z
"Prison Mail, Part 7",Lavenza of the Velvet Room,"A violent, disturbing calamity is drawing near...
but so does hope. I know you are capable of
overcoming this trial. Allow me to provide you
with another assignment to aid your growth.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Regenerate 3 Skill Card,[1B]Z,Regenerate 3 Skill Card,[1B]Z,[1B]Z
"Prison Mail, Part 8",Lavenza of the Velvet Room,"This may not be the most appropriate timing
for a request, but I believe the experience will
make your heart stronger. Please take on this
challenge so you may vanquish the calamity.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,Mediarahan Skill Card,[1B]Z,Mediarahan Skill Card,[1B]Z,[1B]Z
"Prison Mail, Part 9",Lavenza of the Velvet Room,"Trickster, you have come so far and gained
such great strength. Now that you've reached
this point, this could be too easy for you, but
here's an assignment for you regardless.",Tree of Knowledge,[1B]Z,[1B]Z,[1B]Z,Fortify Spirit Skill Card,[1B]Z,Fortify Spirit Skill Card,[1B]Z,[1B]Z
Employee Course Correction,Concerned secretary working at Madicce,"There's an employee here who's still basically
worshipping ex-CEO Konoe... I know it's
asking a lot, but could you please help? If you
do, I'll teach you one of the boss's own recipes.",Osaka Jail,[1B]Z,Juoji Station,[1B]Z,Churrasco Recipe,Mega Purifying Ash,Churrasco Recipe,Mega Purifying Ash,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Painful Past: Akira Konoe,Lavenza of the Velvet Room,"The memories of battles past can improve
your strength. There is a path in the Osaka
Jail that leads to your battle with Konoe.
It would be wise to follow it to greater heights.",Osaka Jail,Defeat Akira the Hero,Castle: Front Area,[1B]Z,BOND Exp,¥15600,BOND Exp,¥15600,Enter battle
Angel of Contracts Descends,"Oracle, looking forward to going home ASAP","I'm so P.O.ed! Nobody's destroying my home
and everyone else's on MY watch! I'm getting
a super-strong reading in the Tokyo Radio
Tower. Let's take it down and go home already!",Tree of Knowledge,Defeat the Shadow of God,Hall of Contracts,[1B]Z,Contract Slab,¥24000,Contract Slab,¥24000,[1B]Z
Knocking on Death's Door,"Oracle, currently scared shitless","O-O-O-Omigod, there's something in the
Okinawa Jail and its power is... Oh! Could—
Could it be!? Is this... Is it HIM!?",Okinawa Jail,Defeat the Reaper,Cage of Desolation,[1B]Z,Paradise Lost S,Chewing Soul,Paradise Lost S,Chewing Soul,Fight the Reaper
Trapped in the Abyss,"Mona, Desire tracker extraordinaire","I can detect a Desire in the Jail of the Abyss...
somewhere. Sorry, not sure exactly where,
but I'm starting to worry about its owner.
Let's go track it down!",Jail of the Abyss,[1B]Z,[1B]Z,[1B]Z,Unlocks level cap for BOND skill,¥16000,Unlocks level cap for BOND skill,¥16000,[1B]Z
"Junk Collection, Part 8","Kuon Ichinose, friend of Metaverse scroungers","I know making a request at a time like this is
rather odd, but I think I have something that'll
do you some good. I'll trade it for a certain type
of junk. I'd really appreciate the effort.",Jail of the Abyss,[1B]Z,[1B]Z,[1B]Z,Ruyi Jingu Bang S,¥102000,Ruyi Jingu Bang S,¥102000,[1B]Z
A Thief's Challenge: Mona,"Mona, the quintessential phantom thief","As the one who taught you the skills of the
trade, I thought I might put you to the test!
Think you can infiltrate this especially nasty
Jail without any problems?",Jail of the Abyss,[1B]Z,[1B]Z,[1B]Z,Magic Incense,Amrita Soda,Magic Incense,Amrita Soda,[1B]Z
Trapped in the Great Tree,"Mona, Desire tracker extraordinaire","I can smell a Desire inside the Tokyo Radio
Tower. I don't know exactly where, though—
it's hidden away. Tracking down this Desire
might be tough, but only we can do it!",Tree of Knowledge,[1B]Z,[1B]Z,[1B]Z,Master Coffee Recipe,¥19000,Master Coffee Recipe,¥19000,[1B]Z
"Junk Collection, Part 9","Kuon Ichinose, friend of Metaverse scroungers","I've got one last request for you guys—I'm
looking for a specific kind of junk. Hey, is
it just me, or do you guys seem a lot
stronger than before?",Tree of Knowledge,[1B]Z,[1B]Z,[1B]Z,More armor available,¥120000,More armor available,¥120000,[1B]Z
A Thief's Special Challenge,Lavenza of the Velvet Room,Proceed from the base of the Tree of Knowledge until you reach the Hall of Contracts without using quick travel or alarming enemies.,Tree of Knowledge,[1B]Z,[1B]Z,[1B]Z,Master Curry Recipe,¥20000,Master Curry Recipe,¥20000,[1B]Z
Painful Past: Demiurge,Lavenza of the Velvet Room,It seems your past holds a battle even I have not witnessed. There is a path leading to a memory in the Tree of Knowledge. Only your will can decide whether or not you follow it.,Tree of Knowledge,Defeat False God Demiurge,Hall of Contracts,[1B]Z,BOND Exp,Crab / Egg / Miso,BOND Exp,Crab / Egg / Miso,Enter battle
Painful Past+: Alice Hiiragi,Lavenza of the Velvet Room,"The twisted will of the Ark has spawned
cognitive Monarchs all across the land.
Defeat the Monarch of Shibuya once more...
and please, be careful.",Shibuya Jail,Defeat Mad Rabbit Alice,Castle: Front Area,[1B]Z,Naraka Whip S,¥21000,Haten Robe+,¥21000,Enter battle (EX)
Painful Past+: Ango Natsume,Lavenza of the Velvet Room,"The twisted will of the Ark has spawned
cognitive Monarchs all across the land.
Defeat the Monarch of Sendai once more...
and please, be careful.",Sendai Jail,Defeat Nightmare Dragon Ango,Castle: Front Area,[1B]Z,Usumidori S,¥22000,Demon's Jacket+,¥22000,Enter battle (EX)
"Painful Past+: Mariko Hyodo ",Lavenza of the Velvet Room,"The twisted will of the Ark has spawned
cognitive Monarchs all across the land.
Defeat the Monarch of Sapporo once more...
and please, be careful.",Sapporo Jail,Defeat Snow Empress Mariko,Castle: Front Area,[1B]Z,Fleurs du Mal S,¥23000,Felicitas Locket,¥23000,Enter battle (EX)
Painful Past+: Akira Konoe,Lavenza of the Velvet Room,"The twisted will of the Ark has spawned
cognitive Monarchs all across the land.
Defeat the Monarch of Osaka once more...
and please, be careful.",Osaka Jail,Defeat Akira the Hero,Castle: Front Area,[1B]Z,Mjolnir S,¥25000,Soul Vest+,¥25000,Enter battle (EX)
Painful Past+: Demiurge,Lavenza of the Velvet Room,"The Ark has evolved even further, creating
a being that surpasses its own power in the
Tree of Knowledge. Defeat the false god,
Demiurge, once more. Fight well, Trickster...",Tree of Knowledge,Defeat False God Demiurge,Hall of Contracts,[1B]Z,Forbidden Fruit,¥30000,Cocytus,¥30000,Enter battle (EX)
Knocking on Death's Door,"Oracle, currently scared shitless","O-O-O-Omigod, there's something in the
Okinawa Jail and its power is... Oh! Could—
Could it be!? Is this... Is it HIM!?",Okinawa Jail,Defeat the Reaper,Cage of Desolation,[1B]Z,Omnipotent Orb,Steel Brooch,Omnipotent Orb,Steel Brooch,Fight the Reaper
